DateTime,Entries,UniqueIPs
1504373120,53625,53625
1504374149,53579,53579
1504375256,53583,53583
1504376131,53789,53789
1504376912,53886,53886
1504377749,53610,53610
1504378640,53637,53637
1504379723,53472,53472
1504380630,53273,53273
1504381546,53224,53224
1504383033,53125,53125
1504384101,53147,53147
1504384948,52696,52696
1504385802,8244,8244
1504386636,52522,52522
1504387701,52552,52552
1504388541,52217,52217
1504389661,52051,52051
1504390463,52066,52066
1504391661,51814,51814
1504394126,51611,51611
1504395028,8244,8244
1504395753,51035,51035
1504396799,50783,50783
1504397728,50769,50769
1504398634,50312,50312
1504399523,50151,50151
1504400754,49524,49524
1504401640,49532,49532
1504402942,48435,48435
1504404862,47785,47785
1504405861,46551,46551
1504408226,45251,45251
1504409915,44412,44412
1504410956,44115,44115
1504411838,43480,43480
1504413025,42560,42560
1504413929,42285,42285
1504415741,41608,41608
1504416637,40550,40550
1504417532,40092,40092
1504419014,8244,8244
1504421080,38421,38421
1504421789,38431,38431
1504422639,38192,38192
1504423701,38211,38211
1504425429,38214,38214
1504426229,38198,38198
1504428151,38205,38205
1504428988,38224,38224
1504429855,38195,38195
1504430907,38211,38211
1504431929,8244,8244
1504433665,37103,37103
1504434665,36559,36559
1504435577,36363,36363
1504436191,36372,36372
1504437039,35918,35918
1504437266,35928,35928
1504438235,35384,35384
1504439124,35396,35396
1504439986,34716,34716
1504440837,34691,34691
1504441705,34706,34706
1504444459,33452,33452
1504445418,32839,32839
1504446143,32657,32657
1504446986,32686,32686
1504447835,32209,32209
1504449035,31547,31547
1504450459,31318,31318
1504451405,30755,30755
1504452635,30080,30080
1504453528,29820,29820
1504454515,29228,29228
1504455325,29246,29246
1504456238,28520,28520
1504456954,28262,28262
1504458628,27790,27790
1504459870,27035,27035
1504460725,27068,27068
1504461386,27094,27094
1504462461,26223,26223
1504464040,25282,25282
1504465827,25066,25066
1504466719,25337,25337
1504467749,24704,24704
1504468768,23889,23889
1504469783,23861,23861
1504471227,23131,23131
1504473036,22350,22350
1504474099,22367,22367
1504476636,20690,20690
1504477497,20708,20708
1504479390,19729,19729
1504480248,19130,19130
1504481426,18325,18325
1504482325,18343,18343
1504482976,8244,8244
1504483831,17377,17377
1504484944,17394,17394
1504486002,16062,16062
1504487659,15339,15339
1504488631,14480,14480
1504490344,14451,14451
1504491327,14473,14473
1504492226,14454,14454
1504493120,14466,14466
1504494859,14473,14473
1504496362,14453,14453
1504497326,14480,14480
1504498235,14464,14464
1504499250,14481,14481
1504500146,14443,14443
1504500985,14455,14455
1504501830,14438,14438
1504502905,14428,14428
1504503740,14395,14395
1504504781,14387,14387
1504505732,8244,8244
1504506502,14409,14409
1504507483,14362,14362
1504509039,14370,14370
1504510231,14365,14365
1504511481,14384,14384
1504512633,14382,14382
1504513700,14399,14399
1504514557,14389,14389
1504516238,14508,14508
1504517121,14719,14719
1504519258,16349,16349
1504520136,16622,16622
1504521036,16843,16843
1504523434,17562,17562
1504524323,17793,17793
1504525476,17985,17985
1504526833,18063,18063
1504528940,18046,18046
1504530457,18060,18060
1504531398,18200,18200
1504532367,18512,18512
1504533385,18895,18895
1504534232,19153,19153
1504535101,19409,19409
1504536033,19581,19581
1504537281,19885,19885
1504538060,20128,20128
1504538899,20403,20403
1504539809,20596,20596
1504540584,20844,20844
1504541428,21083,21083
1504543347,21628,21628
1504544190,21883,21883
1504545035,22152,22152
1504545895,22407,22407
1504546820,22367,22367
1504548205,22693,22693
1504549229,22968,22968
1504550121,23158,23158
1504551327,23468,23468
1504552238,23691,23691
1504553430,24142,24142
1504555051,24611,24611
1504556061,24847,24847
1504557010,24990,24990
1504558154,25226,25226
1504559667,25492,25492
1504560500,25651,25651
1504562183,25851,25851
1504563032,25853,25853
1504564234,25843,25843
1504565129,25842,25842
1504566618,8244,8244
1504568540,25868,25868
1504569805,25872,25872
1504570848,25894,25894
1504571721,25887,25887
1504572141,25891,25891
1504573838,25921,25921
1504574728,25939,25939
1504575607,25917,25917
1504576519,25931,25931
1504577431,25917,25917
1504578628,25914,25914
1504579525,25925,25925
1504580696,25937,25937
1504581626,25950,25950
1504582100,25961,25961
1504583719,25957,25957
1504584638,25957,25957
1504585684,8244,8244
1504586549,25954,25954
1504587659,25955,25955
1504588465,25968,25968
1504589425,25964,25964
1504590141,25979,25979
1504590984,25992,25992
1504591834,25985,25985
1504593286,25987,25987
1504594530,25987,25987
1504595435,25984,25984
1504596628,26151,26151
1504597525,26247,26247
1504599273,26392,26392
1504600958,26725,26725
1504602059,26979,26979
1504602904,8244,8244
1504603820,27438,27438
1504605317,27790,27790
1504606234,27798,27798
1504607120,27825,27825
1504608039,27821,27821
1504608985,27952,27952
1504609835,28219,28219
1504610899,8244,8244
1504611884,28678,28678
1504612784,28703,28703
1504613734,28732,28732
1504615318,28715,28715
1504617032,28724,28724
1504618083,28746,28746
1504619211,28731,28731
1504620630,28751,28751
1504621785,28749,28749
1504622721,28782,28782
1504623666,28778,28778
1504624459,28810,28810
1504625430,28809,28809
1504627747,28863,28863
1504629031,28877,28877
1504629925,28890,28890
1504630580,8244,8244
1504631729,28900,28900
1504632625,28887,28887
1504633526,28902,28902
1504634183,28919,28919
1504635027,28855,28855
1504636108,28886,28886
1504637760,28373,28373
1504638636,28367,28367
1504639805,8244,8244
1504640728,28680,28680
1504642232,28763,28763
1504643120,28786,28786
1504644141,28764,28764
1504645837,28833,28833
