DateTime,Entries,UniqueIPs
1504132574,497,497
1504133558,502,502
1504134493,502,502
1504135452,508,508
1504136424,515,515
1504137381,525,525
1504138332,529,529
1504139303,523,523
1504140255,523,523
1504141236,521,521
1504142182,525,525
1504143145,537,537
1504144096,532,532
1504145071,530,530
1504146033,524,524
1504147007,521,521
1504147954,522,522
1504148895,517,517
1504149863,518,518
1504150830,522,522
1504151795,523,523
1504152752,524,524
1504153696,518,518
1504154668,524,524
1504155646,524,524
1504156571,530,530
1504157559,532,532
1504158507,532,532
1504159466,535,535
1504160415,537,537
1504161400,543,543
1504162344,542,542
1504163299,541,541
1504164261,535,535
1504165228,526,526
1504166186,532,532
1504167162,533,533
1504168091,532,532
1504169070,528,528
1504170045,523,523
1504170977,524,524
1504171961,532,532
1504172895,529,529
1504173862,526,526
1504174839,518,518
1504175773,520,520
1504176755,524,524
1504177692,516,516
1504178674,513,513
1504179624,515,515
1504180582,521,521
1504181558,528,528
1504182501,529,529
1504183467,527,527
1504184442,534,534
1504185370,535,535
1504186365,541,541
1504187300,545,545
1504188271,546,546
1504189230,550,550
1504190192,554,554
1504191385,556,556
1504192355,557,557
1504193294,561,561
1504194276,563,563
1504195246,561,561
1504196176,563,563
1504197143,554,554
1504198114,549,549
1504199063,538,538
1504200022,531,531
1504200999,528,528
1504202217,526,526
1504203407,520,520
1504204336,516,516
1504205296,519,519
1504206774,517,517
1504207694,516,516
1504208662,516,516
1504209638,511,511
1504210585,504,504
1504211546,490,490
1504212503,490,490
1504213449,482,482
1504214427,476,476
1504215386,468,468
1504216346,471,471
1504217292,463,463
1504218362,463,463
1504219449,463,463
1504220429,459,459
1504221386,461,461
1504222331,460,460
1504223314,459,459
1504224265,448,448
1504225232,451,451
1504226198,446,446
1504227132,451,451
1504228103,450,450
1504229075,441,441
1504230024,437,437
1504230982,433,433
1504231940,427,427
1504232901,429,429
1504233852,428,428
1504234822,430,430
1504235784,433,433
1504236741,442,442
1504237715,438,438
1504238666,439,439
1504239614,441,441
1504240595,440,440
1504241533,436,436
1504242505,436,436
1504243462,437,437
1504244417,436,436
1504245369,443,443
1504246359,448,448
1504247294,449,449
1504248254,452,452
1504249244,448,448
1504250185,449,449
1504251139,446,446
1504252118,449,449
1504253060,446,446
1504254021,444,444
1504254994,441,441
1504255930,439,439
1504256907,439,439
1504257852,439,439
1504258821,444,444
1504259784,444,444
1504260734,455,455
1504261713,461,461
1504262654,467,467
1504263632,466,466
1504264585,464,464
1504265547,463,463
1504266502,462,462
1504267472,462,462
1504268458,456,456
1504269372,455,455
1504270357,459,459
1504271291,462,462
1504272265,469,469
1504273209,475,475
1504274170,469,469
1504275161,465,465
1504276092,466,466
1504277073,462,462
1504278066,441,441
1504279845,421,421
1504280891,418,418
1504281869,415,415
1504282834,408,408
1504283786,405,405
1504284741,405,405
1504285707,406,406
1504286652,408,408
1504287619,404,404
1504288585,401,401
1504289818,405,405
1504290994,397,397
1504292206,403,403
1504293134,403,403
1504294107,400,400
1504295060,402,402
1504296058,397,397
1504296974,403,403
1504297954,405,405
1504298911,404,404
1504299876,401,401
1504300819,402,402
1504301787,399,399
1504302731,397,397
1504303711,402,402
1504304658,399,399
1504305639,402,402
1504306584,408,408
1504307565,402,402
1504308508,406,406
1504309454,406,406
1504310434,406,406
1504311380,404,404
1504312333,399,399
1504313319,400,400
1504314259,399,399
1504315221,397,397
1504316181,395,395
1504317147,397,397
1504318091,398,398
1504319065,404,404
1504320022,397,397
1504320976,394,394
1504321954,391,391
1504322893,389,389
1504323857,390,390
1504324855,389,389
1504325791,390,390
1504326740,391,391
1504327713,393,393
1504328662,391,391
1504329620,395,395
1504330599,399,399
1504331573,399,399
1504332498,391,391
1504333466,388,388
1504334428,390,390
1504335379,393,393
1504336347,396,396
1504337300,395,395
1504338271,397,397
1504339246,400,400
1504340173,398,398
1504341143,396,396
1504342107,396,396
1504343062,394,394
1504344028,395,395
1504344984,392,392
1504345937,388,388
1504346919,387,387
1504347853,384,384
1504348823,386,386
1504349798,392,392
1504350738,395,395
1504351704,393,393
1504352656,391,391
1504353659,391,391
1504354578,384,384
1504355537,390,390
1504356513,385,385
1504357466,384,384
1504358429,380,380
1504359397,381,381
1504360328,382,382
1504361309,379,379
1504362275,378,378
1504363230,380,380
1504364168,379,379
1504365164,373,373
1504366353,369,369
1504367311,366,366
1504368259,366,366
1504369228,368,368
1504370184,368,368
1504371143,369,369
1504372098,364,364
1504373056,367,367
1504374021,364,364
1504374981,361,361
1504375944,359,359
1504377154,361,361
1504378113,361,361
1504379063,365,365
1504380019,365,365
1504380995,366,366
1504381930,368,368
1504382905,369,369
1504383865,377,377
1504384816,378,378
1504385781,382,382
1504386755,374,374
1504387711,383,383
1504388659,388,388
1504389644,389,389
1504391015,392,392
1504392018,394,394
1504392969,396,396
1504394702,399,399
1504395642,397,397
1504396577,391,391
1504397548,384,384
1504398506,386,386
1504399470,383,383
1504400434,379,379
1504401654,378,378
1504402579,377,377
1504403547,361,361
1504404507,364,364
1504405459,364,364
1504406420,363,363
1504407380,364,364
1504408347,362,362
1504409319,364,364
1504410265,361,361
1504411233,359,359
1504412187,358,358
1504413134,354,354
1504414125,346,346
1504415062,347,347
1504416032,351,351
