DateTime,AddedIPs,RemovedIPs
1503223649,1,3
1503227254,3,2
1503230859,0,1
1503234446,1,1
1503238047,2,2
1503241643,3,3
1503245268,4,0
1503248850,1,1
1503252479,1,1
1503256047,1,2
1503259650,2,1
1503263270,1,5
1503266846,1,1
1503270455,3,1
1503274088,1,1
1503277648,1,0
1503281264,2,1
1503284851,1,1
1503288453,1,3
1503292057,1,2
1503295660,3,1
1503299259,2,1
1503302848,0,1
1503306459,1,1
1503313650,3,3
1503317246,3,1
1503320851,2,3
1503324443,0,1
1503328056,1,2
1503331657,2,1
1503335253,1,2
1503338862,3,3
1503342453,3,3
1503346047,3,2
1503349658,1,1
1503353269,1,3
1503356840,1,1
1503360501,0,2
1503364048,1,4
1503367646,3,2
1503371256,5,3
1503374871,2,0
1503378479,1,0
1503382049,0,2
1503385665,1,2
1503389242,2,2
1503392845,2,0
1503396440,1,1
1503400035,1,0
1503403648,1,0
1503407236,1,2
1503410866,0,2
1503414447,1,2
1503418057,3,0
1503421645,2,1
1503425251,1,0
1503428850,0,1
1503432446,1,2
1503436046,1,2
1503439663,2,2
1503443255,2,0
1503446889,2,1
1503450438,2,2
1503454017,2,2
1503457630,1,2
1503461235,0,1
1503464827,0,2
1503468438,0,4
1503472032,0,1
1503475623,2,0
1503479222,1,0
1503482838,2,0
1503490033,2,1
1503493635,1,1
1503497224,1,2
1503500843,1,1
1503508028,0,1
1503511641,1,7
1503515235,2,2
1503518822,9,9
1503522435,6,0
1503526042,1,0
1503529625,4,3
1503533260,3,2
1503540442,1,0
1503544032,0,1
1503547626,1,2
1503551224,0,1
1503554821,1,3
1503558433,3,1
1503562037,1,3
1503565617,2,0
1503569225,1,2
1503572831,1,1
1503576433,2,3
1503580038,3,0
1503583627,2,1
1503587226,1,2
1503590829,1,1
1503594446,5,2
1503598034,1,3
1503601645,1,4
1503605217,4,8
1503608827,9,2
1503612424,2,3
1503616031,3,3
1503619662,1,1
1503623230,1,1
1503626838,2,1
1503630422,1,1
1503634041,1,2
1503637631,3,3
1503641235,3,0
1503644857,1,2
1503648453,0,3
1503652024,3,5
1503655633,1,2
1503659255,0,1
1503662839,4,2
1503666446,2,2
1503670024,1,0
1503677225,1,1
1503680837,2,1
1503684425,1,1
1503688040,3,0
1503691637,1,2
1503695234,1,1
1503698829,1,2
1503702437,3,4
1503706094,0,2
1503709615,0,4
1503713237,6,1
1503716819,2,4
1503720420,5,0
1503724049,1,1
1503727651,1,1
1503731249,1,3
1503734821,3,2
1503738425,1,0
1503742023,2,2
1503745633,0,1
1503749250,2,2
1503752855,0,4
1503756445,4,1
1503760026,2,0
1503763632,1,2
1503767242,0,2
1503770848,4,2
1503774454,2,2
1503778049,1,10
1503781642,1,1
1503785259,1,5
1503788834,11,11
1503792479,1,3
1503796039,2,4
1503799640,3,0
1503803262,1,28
1503806864,2,2
1503810436,16,1
1503814034,11,0
1503817635,2,0
1503821247,8,0
1503824858,1,2
1503828447,1,9
1503832020,10,2
1503835645,1,6
1503839228,9,0
1503842831,3,1
1503846419,1,0
1503850057,0,1
1503853646,0,5
1503857245,1,4
1503860817,3,4
1503864444,0,1
1503868029,8,1
1503871620,2,0
1503878860,1,0
1503882447,0,3
1503886046,2,1
1503889629,1,1
1503893263,0,1
1503896838,1,0
1503900432,0,5
1503904036,3,5
1503907656,1,0
1503911235,7,2
1503914837,3,0
1503918441,0,2
1503922045,0,1
1503925644,3,2
1503929233,0,6
1503932836,6,0
1503936449,1,0
1503940022,1,5
1503943626,5,2
1503947260,0,5
1503950851,2,4
1503954437,8,4
1503958045,0,6
1503961643,1,0
1503965272,1,2
1503968863,2,28
1503972450,26,3
1503976049,8,1
1503979647,7,0
1503983240,5,1
1503986853,0,2
1503990437,1,2
1503994059,2,1
1503997645,0,4
1504001263,1,2
1504004835,1,0
1504008453,1,4
1504012039,4,0
1504015642,1,1
1504019241,0,4
1504022842,4,2
1504026462,0,4
1504030045,6,5
1504033643,4,0
1504037245,2,0
1504040844,0,1
1504044450,3,0
1504048060,2,1
1504051672,2,0
1504055253,2,1
1504058841,0,3
1504066075,1,2
1504069659,1,2
1504073255,1,3
1504076847,3,2
1504080459,3,1
1504084046,1,1
1504087659,1,0
1504091252,0,2
1504098430,2,1
1504105647,1,2
1504109250,1,3
1504112846,2,0
1504116447,3,0
1504120048,1,2
1504123647,4,2
1504127252,1,0
1504130860,1,3
1504134452,2,2
1504138088,1,6
1504141636,2,2
1504145250,1,1
1504148837,2,2
1504152467,3,1
1504156057,1,1
1504159651,2,1
1504163238,1,1
1504166846,2,1
1504170430,1,2
1504174047,1,2
1504177667,0,2
1504181248,1,2
1504184864,1,1
1504188470,3,1
1504192061,1,1
1504195651,0,1
1504199254,0,4
1504202853,5,2
1504206469,1,1
1504210048,2,1
1504213666,1,2
1504217244,2,2
1504220853,2,0
1504224511,0,2
1504228036,4,4
1504231659,1,3
1504235250,4,3
1504238835,4,2
1504242439,1,3
1504246046,5,1
1504249680,1,1
1504253250,2,2
1504256826,2,3
1504260427,2,1
1504264040,1,1
1504267661,0,2
1504271258,0,2
1504274840,0,3
1504278451,0,7
1504282042,7,0
1504285650,1,1
1504289251,2,2
1504292867,1,0
1504296444,2,0
1504300057,4,0
1504303631,2,2
1504307248,0,1
1504310884,2,0
1504314443,1,2
1504318067,4,1
1504321658,1,2
1504325235,3,2
1504328869,0,7
1504332440,8,5
1504336060,4,1
1504339646,2,2
1504343252,2,0
1504346840,0,3
1504350450,3,3
1504354042,1,2
1504357633,2,2
1504361249,1,1
1504364843,2,2
1504368435,1,4
1504372051,1,0
1504375634,2,0
1504379269,0,2
1504382848,2,3
1504386443,1,2
1504390081,2,3
1504393637,3,1
1504397276,1,1
1504400831,2,2
1504408052,0,1
1504411626,3,1
1504415225,2,4
