DateTime,AddedIPs,RemovedIPs
1504222107,314,2
1504224051,1,1
1504225933,1,1
1504227857,0,6
1504229781,1,4
1504231703,3,2
1504233617,2,3
1504235540,3,2
1504237457,3,6
1504239383,6,5
1504241317,2,1
1504243218,1,4
1504245150,2,5
1504247066,2,3
1504248984,4,2
1504250908,0,11
1504253782,2,4
1504255719,3,2
1504257615,0,5
1504259536,1,0
1504261450,0,3
1504263371,1,3
1504265301,4,7
1504268202,3,4
1504270364,3,2
1504272272,0,1
1504274176,0,3
1504276098,0,1
1504279457,4,4
1504281500,4,3
1504284508,3,2
1504286412,1,3
1504288336,5,7
1504290298,5,2
1504292212,2,2
1504294147,0,3
1504296980,2,1
1504298917,2,0
1504300825,1,2
1504302738,3,1
1504304664,1,1
1504306590,1,1
1504308515,0,315
1504311386,3,3
1504313349,0,3
1504315227,0,3
1504317174,2,90
1504321014,5,1
1504322900,3,3
1504326023,11,5
1504327927,4,3
1504329858,2,2
1504333004,2,3
1504334892,6,1
1504336835,2,3
1504338750,2,3
1504340653,2,1
1504342591,2,3
1504344512,1,0
1504347397,6,2
1504349306,2,2
1504351227,3,4
1504353136,4,4
1504355065,2,6
1504356990,3,1
1504358897,2,1
1504360888,1,0
1504363709,1,4
1504365640,2,2
1504367802,2,4
1504370889,75,3
1504372838,1,1
1504374739,3,4
1504376757,1,3
1504378620,0,2
1504380535,2,0
1504383382,1,2
1504385311,2,0
1504387331,1,3
1504389230,3,5
1504391130,2,0
1504393076,2,3
1504396366,6,2
1504398300,5,2
1504400158,1,0
1504403292,1,4
1504405224,6,1
1504407134,6,3
1504409058,10,2
1504411026,5,5
1504412899,1,4
1504414887,2,2
1504416751,1,1
1504418671,1,1
1504420592,9,3
1504422507,1,4
1504424410,3,0
1504426343,2,1
1504428262,1,2
1504430184,16,2
1504432113,60,3
1504434023,61,6
1504435833,48,2
1504437857,26,3
1504439782,19,0
1504441694,38,1
1504443496,21,2
1504446501,30,2
1504448423,32,2
1504450325,4,1
1504452249,16,5
1504454274,20,3
1504456109,23,71
1504458041,22,3
1504460911,69,1
1504463064,62,1
1504464972,32,1
1504466772,34,2
1504468685,37,0
1504470587,50,2
1504472777,38,5
1504474683,27,1
1504476602,54,2
1504479264,74,2
1504481165,22,0
1504483070,1,2
1504484900,3,4
1504491858,2,5
1504493794,0,6
1504495702,1,8
1504497665,5,12
1504499544,2,1
1504501454,2,4
1504503397,6,3
1504505403,2,5
1504507214,2,2
1504509140,3,2
1504511057,3,5
1504512978,3,2
1504514916,2,1
1504516812,4,20
1504518741,3,66
1504520651,1,60
1504522585,1,46
1504524508,0,19
1504527393,2,33
1504529301,1,38
1504531211,1,8
1504533126,4,27
1504535059,1,30
1504536982,5,4
1504538898,5,23
1504540856,2,14
1504543714,2,36
1504545612,3,43
1504547542,2,44
1504549462,2,54
1504551381,1,30
1504553317,2,33
1504555288,1,34
1504557150,3,48
1504559113,5,37
1504560996,1,28
1504563179,3,62
1504565080,3,45
1504567024,1,41
1504568914,5,2
1504570877,1,4
1504572757,3,0
1504574710,1,1
1504576590,0,2
1504578525,1,4
1504581740,2,1
1504583558,28,5
1504585558,23,6
1504587382,7,3
1504589440,29,5
1504591464,11,2
1504593387,0,7
1504595298,3,8
1504597247,1,23
1504599154,5,3
1504602997,3,1
1504604904,6,4
1504606812,5,2
1504608876,1,1
1504610900,5,2
1504612756,1,0
1504614729,1,2
1504616548,3,1
1504618570,3,1
1504620376,6,3
1504622200,0,2
1504624240,2,8
1504626250,0,2
1504628166,1,1
1504631023,2,4
1504632989,4,2
1504635015,5,2
1504637077,2,0
1504639014,2,1
1504640918,3,2
1504642867,3,0
1504644741,1,5
